LogicNLI,LogicNLI,LogicNLI,FOLIO,FOLIO,FOLIO,FOLIO,LogicNLI,LogicNLI,LogicNLI,LogicNLI
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.5^{\pm 0.01}$,$0.59^{\pm 0.01}$,$76.85^{\pm0}\%$,$0.61^{\pm 0.01}$,$0.22^{\pm 0.0}$,$0.22^{\pm 0.0}$,$92.75999999999999^{\pm0}\%$,$0.24^{\pm 0.0}$
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.49^{\pm 0.03}$,$0.63^{\pm 0.03}$,$62.74999999999999^{\pm0}\%$,$0.62^{\pm 0.01}$,$0.0^{\pm nan}$,$0.33^{\pm nan}$,$0.4^{\pm}\%$,$0.36^{\pm nan}$
GPT-4o,CoT,GPT-4o,$0.71^{\pm 0.0}$,$nan^{\pm nan}$,,,$0.73^{\pm 0.0}$,$nan^{\pm nan}$,,
GPT-4o,GCLLM,GPT-4o,$0.67^{\pm 0.01}$,$0.73^{\pm 0.0}$,$85.55^{\pm0}\%$,$0.75^{\pm 0.01}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$,$0.5^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b,$0.68^{\pm 0.01}$,$0.73^{\pm 0.0}$,$87.36^{\pm1}\%$,$0.74^{\pm 0.01}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$,$0.5^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.68^{\pm 0.0}$,$0.71^{\pm 0.01}$,$92.78^{\pm1}\%$,$0.73^{\pm 0.01}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$,$0.48^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.68^{\pm 0.01}$,$0.73^{\pm 0.0}$,$87.19^{\pm0}\%$,$0.74^{\pm 0.01}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$94.42^{\pm0}\%$,$0.49^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.68^{\pm 0.01}$,$0.72^{\pm 0.01}$,$92.28^{\pm1}\%$,$0.73^{\pm 0.01}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$,$0.48^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b,$0.67^{\pm 0.01}$,$0.72^{\pm 0.01}$,$87.85^{\pm0}\%$,$0.73^{\pm 0.01}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$,$0.5^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b $\bigstar$,$0.68^{\pm 0.01}$,$0.71^{\pm 0.01}$,$91.95^{\pm1}\%$,$0.73^{\pm 0.02}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$,$0.48^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$,$0.67^{\pm 0.01}$,$0.72^{\pm 0.01}$,$87.85^{\pm0}\%$,$0.74^{\pm 0.0}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$93.55^{\pm0}\%$,$0.5^{\pm 0.0}$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.69^{\pm 0.0}$,$0.72^{\pm 0.0}$,$93.92^{\pm0}\%$,$0.73^{\pm 0.0}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$,$0.48^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b,$0.68^{\pm 0.01}$,$0.73^{\pm 0.0}$,$87.68^{\pm1}\%$,$0.74^{\pm 0.01}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$,$0.5^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b $\bigstar$,$0.67^{\pm 0.01}$,$0.7^{\pm 0.02}$,$93.27^{\pm0}\%$,$0.71^{\pm 0.02}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$,$0.47^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$,$0.67^{\pm 0.01}$,$0.73^{\pm 0.01}$,$87.36^{\pm1}\%$,$0.74^{\pm 0.01}$,$0.46^{\pm 0.0}$,$0.48^{\pm 0.0}$,$94.13^{\pm0}\%$,$0.49^{\pm 0.0}$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.67^{\pm 0.01}$,$0.71^{\pm 0.01}$,$91.3^{\pm1}\%$,$0.73^{\pm 0.01}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$,$0.48^{\pm 0.0}$
GPT-4o,LogicLM,GPT-4o,$0.06^{\pm nan}$,$0.84^{\pm nan}$,$3.4299999999999997^{\pm}\%$,$0.71^{\pm nan}$,,,,
