LogicNLI,LogicNLI,LogicNLI,LogicNLI,LogicNLI,LogicNLI,LogicNLI
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.46^{\pm 0.0}$,$0.49^{\pm 0.0}$,$0.48^{\pm 0.0}$,$94.42^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$0.48^{\pm 0.0}$,$93.55^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b $\bigstar$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b,$0.46^{\pm 0.0}$,$0.5^{\pm 0.0}$,$0.48^{\pm 0.0}$,$92.46^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$,$0.46^{\pm 0.0}$,$0.49^{\pm 0.0}$,$0.48^{\pm 0.0}$,$94.13^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b $\bigstar$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
GPT-4o,GCLLM,Mistral 7b $\bigstar$,$0.47^{\pm 0.0}$,$0.48^{\pm 0.0}$,$0.47^{\pm 0.0}$,$99.0^{\pm0}\%$
