Dataset,Model,Size,Shots,Category,Accuracy,Accuracy_improvement,Coverage,Coverage_improvement
GSM8K_symbolic,ministral,8.0,2-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,ministral,8.0,5-shots,UNCONSTRAINED,24.5,3.4,81.0,18.3
GSM8K_symbolic,ministral,8.0,5-shots,FOL,27.9,3.4,99.3,18.3
GSM8K_symbolic,mistral,22.0,0-shots,UNCONSTRAINED,0.0,13.2,0.0,99.5
GSM8K_symbolic,mistral,22.0,0-shots,FOL,13.2,13.2,99.5,99.5
GSM8K_symbolic,mistral,22.0,2-shots,UNCONSTRAINED,41.8,-3.6,93.4,6.2
GSM8K_symbolic,mistral,22.0,2-shots,FOL,38.2,-3.6,99.6,6.2
GSM8K_symbolic,mistral,22.0,5-shots,UNCONSTRAINED,40.5,-2.4,92.2,7.5
GSM8K_symbolic,mistral,22.0,5-shots,FOL,38.1,-2.4,99.7,7.5
GSM8K_symbolic,qwen2.5,0.5,0-shots,UNCONSTRAINED,0.0,1.0,0.0,93.2
GSM8K_symbolic,qwen2.5,0.5,0-shots,FOL,1.0,1.0,93.2,93.2
GSM8K_symbolic,qwen2.5,0.5,2-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,0.5,2-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,0.5,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,0.5,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,1.5,0-shots,UNCONSTRAINED,0.0,5.4,0.9,95.4
GSM8K_symbolic,qwen2.5,1.5,0-shots,FOL,5.4,5.4,96.3,95.4
GSM8K_symbolic,qwen2.5,1.5,2-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,1.5,2-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,1.5,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,1.5,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,3.0,0-shots,UNCONSTRAINED,0.1,8.6,0.4,96.3
GSM8K_symbolic,qwen2.5,3.0,0-shots,FOL,8.7,8.6,96.7,96.3
GSM8K_symbolic,qwen2.5,3.0,2-shots,UNCONSTRAINED,25.3,7.0,65.5,32.8
GSM8K_symbolic,qwen2.5,3.0,2-shots,FOL,32.3,7.0,98.3,32.8
GSM8K_symbolic,qwen2.5,3.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,3.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,7.0,0-shots,UNCONSTRAINED,0.0,19.1,0.0,95.1
GSM8K_symbolic,qwen2.5,7.0,0-shots,FOL,19.1,19.1,95.1,95.1
GSM8K_symbolic,qwen2.5,7.0,2-shots,UNCONSTRAINED,39.6,6.9,75.7,23.9
GSM8K_symbolic,qwen2.5,7.0,2-shots,FOL,46.5,6.9,99.6,23.9
GSM8K_symbolic,qwen2.5,7.0,5-shots,UNCONSTRAINED,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,7.0,5-shots,FOL,-100.0,0.0,-100.0,0.0
GSM8K_symbolic,qwen2.5,14.0,0-shots,UNCONSTRAINED,27.9,8.2,57.9,41.5
GSM8K_symbolic,qwen2.5,14.0,0-shots,FOL,36.1,8.2,99.4,41.5
GSM8K_symbolic,qwen2.5,14.0,2-shots,UNCONSTRAINED,57.0,-20.5,95.4,3.7
GSM8K_symbolic,qwen2.5,14.0,2-shots,FOL,36.5,-20.5,99.1,3.7
GSM8K_symbolic,qwen2.5,14.0,5-shots,UNCONSTRAINED,55.1,-20.6,96.5,1.9
GSM8K_symbolic,qwen2.5,14.0,5-shots,FOL,34.5,-20.6,98.4,1.9
GSM8K_symbolic,qwen2.5,32.0,0-shots,UNCONSTRAINED,3.8,21.7,9.6,89.0
GSM8K_symbolic,qwen2.5,32.0,0-shots,FOL,25.5,21.7,98.6,89.0
GSM8K_symbolic,qwen2.5,32.0,2-shots,UNCONSTRAINED,9.0,40.2,15.4,81.8
GSM8K_symbolic,qwen2.5,32.0,2-shots,FOL,49.2,40.2,97.2,81.8
GSM8K_symbolic,qwen2.5,32.0,5-shots,UNCONSTRAINED,13.5,28.4,24.4,66.8
GSM8K_symbolic,qwen2.5,32.0,5-shots,FOL,41.9,28.4,91.2,66.8
